,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
0,sma,69.0,83.0,84.2,69.0,69.25,68.4,71.25,71.25,69.8,71.5,75.5,75.6,79.0
1,titan: (Ind,46.0,46.25,48.4,44.75,45.75,49.2,56.75,54.25,48.2,49.25,70.75,54.0,52.5
2,flipka,58.0,84.25,72.8,50.25,45.0,46.2,60.75,62.75,60.2,53.75,58.75,51.6,59.5
3,samsu,71.0,80.0,71.8,56.25,53.5,53.0,56.75,51.0,44.6,45.75,53.25,59.0,66.5
4,watch,77.0,82.5,84.4,78.0,79.25,82.2,87.5,75.75,81.4,80.75,86.0,90.6,97.5
5,wat,6.0,35.25,32.4,40.75,43.5,53.4,58.25,55.25,60.6,67.25,79.25,88.8,97.0
6,ani,40.0,33.5,40.6,36.0,42.0,44.2,47.0,55.25,55.6,54.25,58.5,83.4,83.0
7,series ,74.0,83.0,72.8,65.25,75.25,77.0,71.5,79.5,75.6,78.75,89.75,80.6,72.0
8,smart wat,75.0,81.0,86.4,70.75,70.5,67.6,73.0,71.75,69.8,72.5,78.25,81.4,83.0
9,what ,100.0,94.75,94.0,88.0,77.75,71.6,75.75,69.25,64.4,63.75,71.0,69.0,66.5
10,bo,57.0,75.0,76.6,56.5,55.0,61.0,67.75,67.25,61.6,57.25,60.0,59.2,55.0
11,fire bol,47.0,62.75,65.2,52.5,55.75,75.4,90.0,91.0,81.4,86.25,89.25,86.8,92.0
12,app,50.0,95.0,71.8,66.5,58.5,61.4,57.25,56.25,53.2,53.5,55.0,55.4,53.0
13,noise sma,65.0,74.0,70.0,51.5,52.0,52.4,56.0,53.0,53.0,57.5,58.5,64.2,62.0
14,fi,54.0,71.0,63.8,52.5,56.5,71.2,84.75,89.25,78.2,76.75,83.75,76.6,82.5
15,gir,80.0,89.0,89.0,78.5,72.5,69.8,75.25,69.0,70.4,67.75,69.5,71.4,73.5
16,fastra,80.0,81.25,81.2,71.75,73.25,76.0,80.25,77.25,78.8,89.75,83.75,85.2,88.5
17,,73.0,69.5,73.0,65.75,71.75,80.4,77.75,75.25,76.2,86.75,82.25,77.4,82.5
18,rol,60.0,65.5,67.2,63.5,72.5,63.6,68.5,66.75,63.0,70.25,80.5,89.2,91.0
19,apple wat,2.0,69.25,55.8,66.25,63.0,69.8,67.75,65.0,64.4,66.5,70.0,68.0,61.0
20,tu jhoothi main makkar full movie watc,0.0,0.75,0.6,0.0,0.5,0.4,1.0,68.25,73.4,73.0,44.25,14.8,7.5
21,apple watch ult,1.0,61.5,33.8,36.0,38.5,43.2,40.0,34.0,37.0,40.0,34.25,38.0,38.0
22,movies ,61.0,58.75,66.0,60.0,72.0,66.0,62.25,75.25,71.6,84.0,82.75,81.0,74.0
23,huawei wa,0.0,1.25,0.0,0.75,51.75,57.6,27.5,57.0,44.2,40.25,17.5,12.8,13.5
24,dizo watc,17.0,89.75,36.4,30.5,23.5,10.6,10.0,7.25,7.0,5.25,4.0,3.6,5.0
25,where to watch ,0.0,0.25,0.2,1.25,13.75,0.8,3.0,28.75,11.8,7.75,1.0,0.2,0.0
26,where to watch fifa w,0.0,0.0,0.6,35.5,17.0,0.4,0.25,0.0,0.0,0.0,0.0,0.8,1.0
27,r,1.0,0.5,0.0,0.0,0.25,0.6,0.0,0.0,0.6,0.5,67.0,17.8,13.5
28,i wat,0.0,47.5,42.8,60.0,56.25,76.8,77.5,67.25,65.2,81.5,87.0,77.6,73.0
29,apple watch ,11.0,72.5,47.6,53.5,50.25,54.2,49.75,48.25,47.6,50.25,49.25,44.8,44.5
30,i watch ,12.0,80.25,64.8,86.25,75.75,86.8,78.5,79.25,78.4,85.5,82.5,68.0,61.5
31,a,1.0,1.0,0.6,0.75,0.25,1.2,0.5,1.0,1.0,0.75,1.5,71.0,85.0
32,drishyam 2 watc,1.0,0.75,2.6,58.5,43.5,25.0,6.75,7.0,4.2,3.5,4.0,4.6,2.5
33,m,76.0,82.5,87.8,80.0,79.75,82.2,88.75,77.0,82.0,81.5,87.5,89.4,95.5
34,ullu web series watch online m,0.0,2.0,2.2,1.5,3.5,25.0,20.25,24.5,43.0,59.25,24.5,16.8,19.0
35,realme wat,30.0,75.0,68.0,51.0,56.75,47.0,49.0,37.25,28.8,24.75,23.0,20.0,16.5
36,jaipur watch,0.0,1.25,0.8,0.75,0.75,28.4,6.75,3.25,3.2,3.25,2.25,2.0,3.5
37,google pix,7.0,14.75,57.6,48.5,46.5,41.6,33.25,53.25,20.8,15.5,15.25,15.8,17.5
38,pix,7.0,17.5,67.4,39.0,37.0,34.2,28.0,40.25,18.8,16.75,16.0,16.0,17.5
39,best,53.0,71.5,54.4,46.0,47.25,54.0,54.25,53.75,50.8,52.5,60.75,66.0,62.5
40,boat,56.0,75.25,61.6,53.5,59.25,68.4,71.75,71.25,66.0,68.5,76.25,79.0,71.5
41,earbuds boat u,52.0,29.75,36.2,13.75,33.75,26.2,67.75,63.25,35.8,56.75,73.5,72.6,72.0
42,boat: (In,72.0,83.75,76.0,66.0,68.75,75.6,80.75,73.75,66.4,64.75,73.25,75.4,79.0
43,earbuds ,65.0,81.0,67.8,64.0,67.75,66.6,64.0,65.75,70.8,72.75,75.25,81.4,80.0
44,watch onlin,79.0,79.0,85.4,82.75,85.0,85.6,78.5,82.5,76.0,81.75,88.5,83.4,88.0
45,wireless earbuds u,51.0,39.75,31.6,38.75,16.5,34.4,16.25,37.5,24.2,41.75,37.0,27.8,29.5
46,bluetooth earbuds u,0.0,47.5,47.8,6.0,18.0,19.6,30.0,40.75,45.8,38.75,70.5,35.0,13.5
47,b,80.0,88.25,84.6,72.75,76.75,76.2,73.25,70.25,67.0,68.5,70.0,69.0,69.0
48,bluetooth,67.0,81.75,74.6,67.75,74.25,75.8,73.0,73.5,69.0,69.5,72.0,71.0,67.0
49,earbuds b,67.0,81.75,74.6,67.75,74.25,75.8,73.0,73.5,69.0,69.5,72.0,71.0,67.0
50,earphones u,77.0,70.75,61.8,56.0,65.0,65.6,69.5,55.75,58.6,66.5,78.0,75.0,75.0
51,e,85.0,88.25,75.4,68.75,71.0,71.4,69.5,65.5,60.4,59.25,70.5,74.4,71.0
52,flipkart,45.0,70.25,54.6,40.5,48.0,50.2,51.75,49.75,41.8,44.5,53.75,56.4,56.5
53,earbu,69.0,89.5,82.6,72.0,77.25,80.2,85.25,77.25,67.0,71.5,82.75,88.2,85.0
54,earbuds un,57.0,63.25,64.0,47.75,63.25,64.8,59.5,64.5,60.6,68.5,82.0,88.8,87.5
